rb_id,player_name,team,season,week,rushing_yards,attempts,offense_pct,opponent,opponent_rush_defense_rank,rb_rush_yards_last5,rb_rush_attempts_last5,rb_injury_status,is_dome,rest_advantage,spread_line,total_line
00-0033856,Leonard Fournette,TB,2021,6,81.0,22,0.63,PHI,11.0,63.666666666666664,13.666666666666666,0,0,0,7.0,53.0
00-0032764,Derrick Henry,TEN,2021,6,143.0,20,0.81,BUF,3.0,120.75,27.25,0,0,0,-6.0,53.5
00-0032602,J.D. McKissic,WAS,2021,6,45.0,8,0.61,KC,3.0,,,0,0,0,-6.0,54.0
00-0034681,Chase Edmonds,ARI,2021,7,81.0,15,0.69,HOU,13.0,51.75,9.25,0,1,0,20.5,47.0
00-0030578,Cordarrelle Patterson,ATL,2021,7,60.0,14,0.73,MIA,10.0,,,0,0,7,1.5,48.5
00-0032063,Mike Davis,ATL,2021,7,10.0,4,0.6,MIA,10.0,40.8,12.4,0,0,7,1.5,48.5
00-0036906,Khalil Herbert,CHI,2021,7,100.0,18,0.77,TB,1.0,97.0,19.0,0,0,-3,-12.5,47.0
00-0035628,D'Ernest Johnson,CLE,2021,7,146.0,22,0.69,DEN,9.0,,,0,0,0,2.0,40.5
00-0036275,D'Andre Swift,DET,2021,7,48.0,13,0.75,LA,7.0,33.4,10.2,1,1,0,-17.0,51.0
00-0033293,Aaron Jones,GB,2021,7,19.0,6,0.73,WAS,4.0,75.0,16.25,0,0,0,8.5,48.0
00-0036223,Jonathan Taylor,IND,2021,7,107.0,18,0.69,SF,3.0,145.0,14.0,0,0,-7,-3.5,41.5
00-0034301,Darrel Williams,KC,2021,7,20.0,5,0.64,TEN,14.0,62.0,21.0,0,0,1,4.0,57.5
00-0035664,Darrell Henderson,LA,2021,7,45.0,15,0.88,DET,15.0,74.4,16.2,0,1,0,17.0,51.0
00-0035311,Myles Gaskin,MIA,2021,7,67.0,15,0.63,ATL,5.0,25.0,5.0,0,0,-7,-1.5,48.5
00-0033906,Alvin Kamara,NO,2021,7,51.0,20,0.82,SEA,16.0,73.6,18.8,0,0,7,6.0,42.0
00-0032972,Devontae Booker,NYG,2021,7,51.0,14,0.82,CAR,11.0,41.5,14.0,0,0,0,-3.0,42.5
00-0036924,Michael Carter,NYJ,2021,7,37.0,11,0.72,NE,12.0,,,0,0,7,-7.0,43.0
00-0036567,Elijah Mitchell,SF,2021,7,107.0,18,0.66,IND,8.0,63.0,15.0,0,0,7,3.5,41.5
00-0032764,Derrick Henry,TEN,2021,7,86.0,29,0.74,KC,2.0,125.2,25.8,0,0,-1,-4.0,57.5
00-0032602,J.D. McKissic,WAS,2021,7,22.0,4,0.64,GB,6.0,45.0,8.0,0,0,0,-8.5,48.0
00-0030578,Cordarrelle Patterson,ATL,2021,8,35.0,9,0.6,CAR,15.0,60.0,14.0,0,0,0,2.5,47.0
00-0032063,Mike Davis,ATL,2021,8,44.0,9,0.64,CAR,15.0,33.0,10.2,0,0,0,2.5,47.0
00-0036251,Zack Moss,BUF,2021,8,19.0,8,0.64,MIA,12.0,37.0,11.0,0,0,6,15.0,48.5
00-0036906,Khalil Herbert,CHI,2021,8,72.0,23,0.84,SF,6.0,98.5,18.5,0,0,0,-4.5,40.0
00-0033897,Joe Mixon,CIN,2021,8,33.0,14,0.76,NYJ,14.0,89.4,20.2,0,0,0,11.5,43.5
00-0033045,Ezekiel Elliott,DAL,2021,8,50.0,16,0.75,MIN,10.0,97.6,18.2,0,1,0,-4.5,49.5
00-0036275,D'Andre Swift,DET,2021,8,27.0,12,0.71,PHI,13.0,35.2,10.6,1,1,0,-3.0,48.5
00-0033293,Aaron Jones,GB,2021,8,59.0,15,0.66,ARI,16.0,63.8,14.2,0,0,0,-6.5,51.0
00-0036223,Jonathan Taylor,IND,2021,8,70.0,16,0.74,TEN,9.0,126.0,16.0,0,0,0,3.0,51.0
00-0031045,Carlos Hyde,JAX,2021,8,32.0,9,0.66,SEA,20.0,,,0,0,8,-4.0,44.0
00-0034301,Darrel Williams,KC,2021,8,49.0,13,0.64,NYG,19.0,41.0,13.0,0,0,0,10.5,53.0
00-0035664,Darrell Henderson,LA,2021,8,90.0,14,0.61,HOU,18.0,69.4,16.0,0,1,0,17.0,47.0
